bol,Name,AUM,Avg Daily Share Volume (3mo)
SPY,SPDR S&P 500 ETF,"$361,785,000.00","82,566,727"
IVV,iShares Core S&P 500 ETF,"$277,686,000.00","4,353,625"
VTI,Vanguard Total Stock Market ETF,"$238,988,000.00","4,207,244"
VOO,Vanguard S&P 500 ETF,"$219,983,000.00","4,176,372"
QQQ,Invesco QQQ,"$156,228,000.00","51,762,398"
VEA,Vanguard FTSE Developed Markets ETF,"$98,125,200.00","9,374,594"
IEFA,iShares Core MSCI EAFE ETF,"$92,684,200.00","8,296,289"
AGG,iShares Core U.S. Aggregate Bond ETF,"$87,480,100.00","6,004,383"
IEMG,iShares Core MSCI Emerging Markets ETF,"$79,361,600.00","11,201,042"
VTV,Vanguard Value ETF,"$79,339,700.00","3,311,033"
VWO,Vanguard FTSE Emerging Markets ETF,"$79,329,300.00","10,134,936"
BND,Vanguard Total Bond Market ETF,"$74,426,000.00","5,556,361"
VUG,Vanguard Growth ETF,"$72,836,500.00","881,105"
IJR,iShares Core S&P Small-Cap ETF,"$69,663,300.00","4,696,359"
IWM,iShares Russell 2000 ETF,"$67,046,900.00","29,708,250"
IWF,iShares Russell 1000 Growth ETF,"$65,513,100.00","1,282,905"
IJH,iShares Core S&P Mid-Cap ETF,"$64,839,300.00","1,284,978"
VIG,Vanguard Dividend Appreciation ETF,"$59,348,900.00","1,467,359"
GLD,SPDR Gold Trust,"$58,405,300.00","8,648,664"
EFA,iShares MSCI EAFE ETF,"$56,644,000.00","20,566,463"
IWD,iShares Russell 1000 Value ETF,"$53,801,100.00","2,818,758"
VO,Vanguard Mid-Cap Index ETF,"$47,639,400.00","671,320"
VXUS,Vanguard Total International Stock ETF,"$45,592,100.00","3,332,964"
VB,Vanguard Small Cap ETF,"$45,541,100.00","744,284"
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,"$44,964,200.00","3,947,206"
VGT,Vanguard Information Technology ETF,"$43,032,800.00","498,917"
XLF,Financial Select Sector SPDR Fund,"$42,661,500.00","58,141,688"
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,"$41,422,700.00","15,605,692"
BNDX,Vanguard Total International Bond ETF,"$41,148,800.00","3,045,658"
VCSH,Vanguard Short-Term Corporate Bond ETF,"$39,364,500.00","3,290,506"
XLK,Technology Select Sector SPDR Fund,"$39,166,600.00","8,284,948"
ITOT,iShares Core S&P Total U.S. Stock Market ETF,"$38,287,400.00","1,698,348"
VNQ,Vanguard Real Estate Index Fund,"$37,867,000.00","4,360,755"
VYM,Vanguard High Dividend Yield ETF,"$36,941,500.00","1,917,262"
VEU,Vanguard FTSE All-World ex-US ETF,"$33,658,600.00","2,896,398"
IVW,iShares S&P 500 Growth ETF,"$32,366,300.00","2,357,434"
BSV,Vanguard Short-Term Bond ETF,"$32,346,800.00","2,361,953"
EEM,iShares MSCI Emerging Markets ETF,"$31,492,400.00","41,891,609"
DIA,SPDR Dow Jones Industrial Average ETF,"$29,964,400.00","4,134,642"
SCHX,Schwab U.S. Large-Cap ETF,"$29,311,900.00","823,811"
USMV,iShares Edge MSCI Min Vol USA ETF,"$28,725,200.00","3,590,749"
IWR,iShares Russell Midcap ETF,"$28,555,100.00","1,410,850"
IWB,iShares Russell 1000 ETF,"$28,419,100.00","708,025"
IAU,iShares Gold Trust,"$28,398,200.00","22,472,875"
IXUS,iShares Core MSCI Total International Stock ETF,"$28,333,900.00","1,606,786"
TIP,iShares TIPS Bond ETF,"$27,428,200.00","2,900,158"
RSP,Invesco S&P 500? Equal Weight ETF,"$27,160,900.00","2,817,195"
XLV,Health Care Select Sector SPDR Fund,"$26,757,400.00","8,918,114"
SCHF,Schwab International Equity ETF,"$26,617,500.00","2,626,081"
MBB,iShares MBS Bond ETF,"$25,777,400.00","1,725,423"
IGSB,iShares Short-Term Corporate Bond ETF,"$25,467,300.00","3,314,769"
XLE,Energy Select Sector SPDR Fund,"$24,620,800.00","32,506,434"
SCHD,Schwab US Dividend Equity ETF,"$24,241,700.00","2,172,212"
VBR,Vanguard Small Cap Value ETF,"$24,174,500.00","630,341"
VV,Vanguard Large Cap ETF,"$23,610,100.00","280,372"
IVE,iShares S&P 500 Value ETF,"$22,383,600.00","1,084,722"
MUB,iShares National AMT-Free Muni Bond ETF,"$21,843,900.00","1,384,470"
MDY,SPDR S&P MidCap 400 ETF,"$21,811,700.00","867,708"
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,"$21,779,500.00","24,946,443"
XLI,Industrial Select Sector SPDR Fund,"$21,113,800.00","12,301,747"
ARKK,ARK Innovation ETF,"$21,013,800.00","12,798,761"
SCHB,Schwab U.S. Broad Market ETF,"$20,581,600.00","568,672"
VT,Vanguard Total World Stock ETF,"$20,506,200.00","1,921,650"
QUAL,iShares Edge MSCI USA Quality Factor ETF,"$20,480,200.00","1,094,558"
XLY,Consumer Discretionary Select Sector SPDR Fund,"$20,278,400.00","3,924,624"
SDY,SPDR S&P Dividend ETF,"$19,824,300.00","553,117"
SHY,iShares 1-3 Year Treasury Bond ETF,"$19,515,400.00","2,757,499"
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,"$19,233,100.00","4,954,616"
PFF,iShares Preferred and Income Securities ETF,"$19,044,500.00","4,941,021"
DVY,iShares Select Dividend ETF,"$18,859,400.00","748,500"
DGRO,iShares Core Dividend Growth ETF,"$18,623,400.00","2,120,981"
VGK,Vanguard FTSE Europe ETF,"$17,102,100.00","3,659,330"
ESGU,iShares ESG MSCI USA ETF,"$16,952,800.00","997,123"
SCHP,Schwab U.S. TIPS ETF,"$16,824,500.00","2,166,080"
JPST,JPMorgan Ultra-Short Income ETF,"$16,802,800.00","2,844,577"
IWN,iShares Russell 2000 Value ETF,"$16,769,400.00","1,957,961"
ACWI,iShares MSCI ACWI ETF,"$16,658,100.00","3,332,244"
GOVT,iShares U.S. Treasury Bond ETF,"$16,369,400.00","5,646,349"
VXF,Vanguard Extended Market VIPERs ETF,"$16,197,400.00","449,864"
SCHA,Schwab U.S. Small-Cap ETF,"$15,691,000.00","616,941"
VLUE,iShares Edge MSCI USA Value Factor ETF,"$15,625,600.00","1,453,892"
VBK,Vanguard Small Cap Growth ETF,"$15,285,800.00","247,227"
GDX,VanEck Vectors Gold Miners ETF,"$15,035,200.00","21,247,244"
SLV,iShares Silver Trust,"$14,951,100.00","27,445,664"
SHV,iShares Short Treasury Bond ETF,"$14,941,400.00","2,057,661"
VMBS,Vanguard Mortgage-Backed Securities ETF,"$14,892,600.00","1,525,509"
IWP,iShares Russell Midcap Growth ETF,"$14,786,200.00","1,060,331"
MINT,PIMCO Enhanced Short Maturity Strategy Fund,"$14,692,900.00","1,071,534"
VHT,Vanguard Healthcare ETF,"$14,558,800.00","232,339"
SCZ,iShares MSCI EAFE Small-Cap ETF,"$14,486,000.00","1,853,352"
BIV,Vanguard Intermediate-Term Bond ETF,"$14,399,200.00","1,393,898"
MTUM,iShares Edge MSCI USA Momentum Factor ETF,"$14,256,100.00","1,331,867"
VOE,Vanguard Mid-Cap Value ETF,"$14,228,100.00","382,350"
SCHG,Schwab U.S. Large-Cap Growth ETF,"$14,225,600.00","427,678"
IWS,iShares Russell Midcap Value ETF,"$14,113,400.00","841,608"
IEF,iShares 7-10 Year Treasury Bond ETF,"$13,596,700.00","8,028,776"
EFV,iShares MSCI EAFE Value ETF,"$13,440,100.00","3,302,677"
XLC,Communication Services Select Sector SPDR Fund,"$13,368,100.00","4,203,852"
VTIP,Vanguard Short-Term Inflation-Protected Securities ETF,"$13,326,500.00","1,785,411"
IUSB,iShares Core Total USD Bond Market ETF,"$13,195,900.00","1,824,636"
